atlas_id,model_name,scope,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,matched_auc,matched_auc_ci_low,matched_auc_ci_high,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,matched_retention,n_total,n_r,n_matched,n_matched_r,n_valid_strata,audit_adequacy_label,audit_interpretation_category,exact_background_auc,background_burden_auc,observed_minus_exact_background_auc,observed_minus_burden_auc,co_resistance_adequacy_label,co_resistance_interpretation,calibration_auc,brier,expected_calibration_error,balanced_accuracy,calibration_label,centered_auc_n3,retention_n3,valid_strata_n3,centered_auc_n5,retention_n5,valid_strata_n5,centered_auc_n10,retention_n10,valid_strata_n10,atlas_interpretation,pre_specified_outcome,prediction_match,clonal_conservation_score,co_resistance_collinearity,pre_specified_rationale,locked_before_run,notes
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.626409,0.517876,0.735749,0.592909,0.442783,0.723991,0.578364,0.435264,0.716287,0.560533,1239,0.0319361,0.745856,181,46,135,25,3,interpretable,partially_retained_or_uncertain,0.566023,0.665056,0.0603865,-0.0386473,interpretable,maldi_exceeds_exact_background,0.626409,0.269622,0.269558,0.646055,poorly_calibrated,0.6852,0.5580,3,0.7398,0.3923,1,0.7398,0.3923,1,weak_or_partial_within_background_signal,collapse,mismatched,low,moderate,mixed beta-lactam phenotype expected to be heterogeneous and background-sensitive,retrospective_rule_building,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-C,Escherichia coli,Cefepime,0.4748,0.306931,0.651127,0.2,0,0.666667,0.2,0,0.6,0.2,20,0.946108,0.072,125,25,9,4,1,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,0.959,0.9276,-0.4842,-0.4528,interpretable,exact_background_competitive,0.4748,0.196681,0.196064,0.57,borderline_calibration,0.4196,0.5440,1,0.4196,0.5440,1,0.4196,0.5440,1,background_only_competitive_and_weak_residual,,,,,,,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-C,Escherichia coli,Ceftazidime,0.533139,0.424595,0.654044,,,,,,,,0,,0,183,29,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.993506,0.955329,-0.460367,-0.42219,interpretable,exact_background_competitive,0.533139,0.221571,0.238792,0.486789,borderline_calibration,0.4583,0.3005,1,0.4583,0.3005,1,,0.0000,0,not_interpretable_or_sparse,,,,,,,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-C,Escherichia coli,Ceftriaxone,0.644589,0.507958,0.752772,,,,,,,,0,,0,184,30,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.993723,0.922186,-0.349134,-0.277597,interpretable,exact_background_competitive,0.644589,0.170561,0.170595,0.567965,borderline_calibration,0.5791,0.3315,1,0.5791,0.3315,1,,0.0000,0,not_interpretable_or_sparse,,,,,,,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-C,Escherichia coli,Ciprofloxacin,0.625094,0.528465,0.73467,0.829412,0.678068,0.956164,0.816176,0.618357,0.956164,0.821429,420,0.00199601,0.438202,178,38,78,10,2,caution_low_n_matched,caution_low_matched_support,0.868985,0.78844,-0.243891,-0.163346,interpretable,exact_background_competitive,0.625094,0.306682,0.325196,0.584398,poorly_calibrated,0.5913,0.5169,2,0.6507,0.3989,1,0.6507,0.3989,1,cautionary_background_only_competitive_but_residual_signal,partial_retention,matched,high,high,fluoroquinolone resistance expected to retain lineage-linked residual signal after non-fluoroquinolone background matching,retrospective_rule_building,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-C,Escherichia coli,Norfloxacin,0.694154,0.518903,0.833039,,,,,,,,0,,0,90,25,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.992308,0.875077,-0.298154,-0.180923,interpretable,exact_background_competitive,0.694154,0.282697,0.301111,0.690769,poorly_calibrated,0.8129,0.3889,1,0.8129,0.3889,1,0.8129,0.3889,1,not_interpretable_or_sparse,,,,,,,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-D,Escherichia coli,Amoxicillin-Clavulanic acid,0.652425,0.585317,0.720842,0.67672,0.610523,0.750799,0.524015,0.424792,0.626572,0.630646,8523,0.0139721,0.924812,399,66,369,54,3,interpretable,background_driven_collapse,0.52093,0.706638,0.131495,-0.0542133,interpretable,maldi_exceeds_exact_background,0.652425,0.257993,0.257207,0.56006,poorly_calibrated,0.6421,0.7419,6,0.6506,0.7018,4,0.6777,0.4185,1,background_sensitive_collapse,collapse,matched,low,moderate,mixed beta-lactam phenotype expected to be heterogeneous and background-sensitive,retrospective_rule_building,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-D,Escherichia coli,Cefepime,0.622082,0.540663,0.69644,0.5625,0,1,0.5625,0.0666667,1,0.5625,16,0.417166,0.02,400,31,8,4,1,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,0.97561,0.979937,-0.353527,-0.357855,interpretable,exact_background_competitive,0.622082,0.193293,0.194016,0.444313,borderline_calibration,0.6128,0.4375,1,0.6128,0.4375,1,0.6128,0.4375,1,background_only_competitive_and_weak_residual,,,,,,,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-D,Escherichia coli,Ceftazidime,0.653278,0.562674,0.740087,0.625817,0.465152,0.797297,0.388889,0.194139,0.584211,0.587065,201,0.327345,0.132832,399,37,53,17,2,caution_low_n_matched,caution_low_matched_support,0.963118,0.967261,-0.30984,-0.313984,interpretable,exact_background_competitive,0.653278,0.160299,0.165464,0.525832,borderline_calibration,0.4568,0.3835,3,0.6501,0.3434,1,0.6501,0.3434,1,background_only_competitive_and_weak_residual,,,,,,,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-D,Escherichia coli,Ceftriaxone,0.627507,0.536658,0.713661,0.650641,0.409357,0.869919,0.612179,0.314286,0.869919,0.783069,189,0.0698603,0.117794,399,40,47,8,2,caution_low_n_matched,caution_low_matched_support,0.953482,0.953099,-0.325975,-0.325592,interpretable,exact_background_competitive,0.627507,0.14618,0.146913,0.52211,well_calibrated,0.5073,0.5213,2,0.5373,0.4185,1,0.5373,0.4185,1,cautionary_background_only_competitive_but_residual_signal,,,,,,,official-workflow compatibility export
weis_lr_ecoli,Weis LR,E. coli Weis-style panel,DRIAMS-D,Escherichia coli,Ciprofloxacin,0.667154,0.595046,0.739454,0.61541,0.523889,0.703681,0.619902,0.52777,0.708621,0.632806,8663,0.00199601,0.914948,388,74,355,50,3,interpretable,focal_signal_retained,0.537915,0.741134,0.129239,-0.07398,interpretable,maldi_exceeds_exact_background,0.667154,0.24208,0.235567,0.648477,borderline_calibration,0.6692,0.7912,6,0.7221,0.5567,3,0.6764,0.4304,1,moderate_within_background_signal,partial_retention,stronger_than_predicted,high,high,fluoroquinolone resistance expected to retain lineage-linked residual signal after non-fluoroquinolone background matching,retrospective_rule_building,official-workflow compatibility export
weis_lr_klebsiella_ceftriaxone,Weis LR,K. pneumoniae ceftriaxone official-panel extension,DRIAMS-B,Klebsiella pneumoniae,Ceftriaxone,0.509259,0.307692,0.712963,0.509259,0.310345,0.678571,0.509259,0.310345,0.706897,0.509259,108,0.532934,1,31,4,31,4,1,caution_low_n_matched,caution_low_matched_support,0,0.5,0.509259,0.00925926,interpretable,maldi_exceeds_exact_background,0.509259,0.22719,0.282166,0.314815,poorly_calibrated,0.5093,1.0000,1,,0.0000,0,,0.0000,0,near_chance_or_ambiguous,collapse_or_sparse,matched,moderate,high,third-organism ceftriaxone setting expected to be ESBL/co-resistance dominated or limited by sparse matched strata,2026-05-20_pre_atlas_incorporation,third-organism atlas extension
weis_lr_klebsiella_ceftriaxone,Weis LR,K. pneumoniae ceftriaxone official-panel extension,DRIAMS-C,Klebsiella pneumoniae,Ceftriaxone,0.672439,0.507937,0.829545,0.672439,0.515991,0.815296,0.672439,0.514502,0.82197,0.672439,693,0.0419162,1,74,11,74,11,1,caution_low_n_matched,caution_low_matched_support,0,0.5,0.672439,0.172439,interpretable,maldi_exceeds_exact_background,0.672439,0.128101,0.0789127,0.537518,well_calibrated,0.6724,1.0000,1,0.6724,1.0000,1,0.6724,1.0000,1,cautionary_moderate_within_background_signal,collapse_or_sparse,mismatched,moderate,high,third-organism ceftriaxone setting expected to be ESBL/co-resistance dominated or limited by sparse matched strata,2026-05-20_pre_atlas_incorporation,third-organism atlas extension
weis_lr_klebsiella_ceftriaxone,Weis LR,K. pneumoniae ceftriaxone official-panel extension,DRIAMS-D,Klebsiella pneumoniae,Ceftriaxone,0.596256,0.491912,0.700589,0.596256,0.493947,0.703883,0.596256,0.490553,0.690865,0.596256,10150,0.0598802,1,431,25,431,25,1,interpretable,weak_raw_signal,0,0.5,0.596256,0.0962562,interpretable,maldi_exceeds_exact_background,0.596256,0.108378,0.180615,0.53936,borderline_calibration,0.5963,1.0000,1,0.5963,1.0000,1,0.5963,1.0000,1,weak_or_partial_within_background_signal,collapse_or_sparse,mismatched,moderate,high,third-organism ceftriaxone setting expected to be ESBL/co-resistance dominated or limited by sparse matched strata,2026-05-20_pre_atlas_incorporation,third-organism atlas extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,A-2018,Klebsiella pneumoniae,Amoxicillin-Clavulanic acid,0.742686,0.6926,0.791702,0.632383,0.532017,0.726449,0.531921,0.419761,0.655134,0.67845,9448,0.19403,0.795995,799,147,636,40,3,interpretable,background_driven_collapse,0.885282,0.869955,-0.142596,-0.127269,interpretable,exact_background_competitive,0.742686,0.151018,0.15423,0.676313,borderline_calibration,0.5319,0.7960,3,0.5319,0.7960,3,0.5974,0.7710,2,background_only_competitive_and_weak_residual,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,A-2018,Klebsiella pneumoniae,Cefepime,0.896387,0.78863,0.983867,,,,,,,,0,,0,728,25,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.999203,0.991977,-0.102817,-0.0955903,interpretable,exact_background_competitive,0.896387,0.0383845,0.110814,0.809331,well_calibrated,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,A-2018,Klebsiella pneumoniae,Ceftazidime,0.809002,0.755784,0.871375,0.208333,0,0.538462,0.208333,0.0181818,0.466667,0.208333,48,0.970149,0.0205128,780,90,16,12,1,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,0.995668,0.98033,-0.186667,-0.171329,interpretable,exact_background_competitive,0.809002,0.0835315,0.108712,0.751208,well_calibrated,0.2083,0.0205,1,,0.0000,0,,0.0000,0,background_only_competitive_and_weak_residual,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,A-2018,Klebsiella pneumoniae,Ceftriaxone,0.80362,0.752368,0.854883,0.5,0.190909,0.807692,0.5,0.2,0.782609,0.5,72,0.522388,0.0334572,807,116,27,3,1,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,0.981286,0.970539,-0.177666,-0.166918,interpretable,exact_background_competitive,0.80362,0.0941804,0.106213,0.761297,well_calibrated,0.5000,0.0335,1,,0.0000,0,,0.0000,0,background_only_competitive_and_weak_residual,collapse_or_sparse,matched,moderate,high,third-organism ceftriaxone setting expected to be ESBL/co-resistance dominated or limited by sparse matched strata,2026-05-20_pre_atlas_incorporation,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,A-2018,Klebsiella pneumoniae,Ciprofloxacin,0.788115,0.732599,0.839463,0.795385,0.727652,0.857108,0.63385,0.546421,0.716061,0.664621,14014,0.00497512,0.84557,790,117,668,71,5,interpretable,focal_signal_retained,0.796237,0.859787,-0.00812156,-0.0716717,interpretable,exact_background_competitive,0.788115,0.141236,0.193533,0.724292,borderline_calibration,0.6339,0.8456,5,0.6687,0.8013,3,0.6635,0.7570,1,background_only_competitive_but_residual_signal,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,A-2018,Klebsiella pneumoniae,Piperacillin-Tazobactam,0.738413,0.668568,0.807782,0.6133,0.459057,0.768831,0.530788,0.371693,0.67866,0.543814,388,0.293532,0.0773406,737,59,57,29,2,caution_low_n_matched_and_low_retention,caution_low_matched_support,0.985363,0.964014,-0.24695,-0.225601,interpretable,exact_background_competitive,0.738413,0.103943,0.145012,0.621931,well_calibrated,0.5308,0.0773,2,0.5308,0.0773,2,0.5308,0.0773,2,background_only_competitive_and_weak_residual,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-B,Klebsiella pneumoniae,Amoxicillin-Clavulanic acid,0.331101,0.206694,0.446801,,,,,,,,0,,0,149,21,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.993862,0.995536,-0.66276,-0.664435,interpretable,exact_background_competitive,0.331101,0.338036,0.431395,0.389695,poorly_calibrated,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-B,Klebsiella pneumoniae,Cefepime,0.443284,0.252239,0.597619,,,,,,,,0,,0,149,15,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1,1,-0.556716,-0.556716,interpretable,exact_background_competitive,0.443284,0.200652,0.278045,0.48806,poorly_calibrated,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-B,Klebsiella pneumoniae,Ceftazidime,0.371378,0.23855,0.551948,,,,,,,,0,,0,151,17,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1,1,-0.628622,-0.628622,interpretable,exact_background_competitive,0.371378,0.263194,0.357806,0.434811,poorly_calibrated,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-B,Klebsiella pneumoniae,Ceftriaxone,0.404302,0.257792,0.559722,,,,,,,,0,,0,151,17,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1,1,-0.595698,-0.595698,interpretable,exact_background_competitive,0.404302,0.274628,0.361731,0.489464,poorly_calibrated,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,collapse_or_sparse,matched,moderate,high,third-organism ceftriaxone setting expected to be ESBL/co-resistance dominated or limited by sparse matched strata,2026-05-20_pre_atlas_incorporation,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-B,Klebsiella pneumoniae,Ciprofloxacin,0.577778,0.407589,0.740514,0.763158,0.491228,0.982759,0.763158,0.517241,0.991228,0.763158,342,0.0945274,0.790541,148,18,117,3,1,interpretable,weak_raw_signal,0.809188,0.871368,-0.23141,-0.29359,interpretable,exact_background_competitive,0.577778,0.312121,0.42049,0.557265,poorly_calibrated,0.7632,0.7905,1,,0.0000,0,,0.0000,0,background_only_competitive_but_residual_signal,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-B,Klebsiella pneumoniae,Piperacillin-Tazobactam,0.376212,0.250725,0.505333,,,,,,,,0,,0,145,26,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.923077,0.918714,-0.546865,-0.542502,interpretable,exact_background_competitive,0.376212,0.289906,0.339836,0.424531,poorly_calibrated,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-C,Klebsiella pneumoniae,Amoxicillin-Clavulanic acid,0.646243,0.54239,0.718123,0.569231,0.345455,0.784774,0.473427,0.228036,0.696128,0.623441,401,0.61194,0.386301,365,54,141,11,3,interpretable,background_driven_collapse,0.931225,0.922502,-0.284983,-0.276259,interpretable,exact_background_competitive,0.646243,0.207534,0.27171,0.650381,poorly_calibrated,0.4734,0.3863,3,,0.0000,0,,0.0000,0,background_only_competitive_and_weak_residual,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-C,Klebsiella pneumoniae,Cefepime,0.649242,0.538534,0.727551,,,,,,,,0,,0,182,50,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1,0.989924,-0.350758,-0.340682,interpretable,exact_background_competitive,0.649242,0.195182,0.0721955,0.563182,well_calibrated,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-C,Klebsiella pneumoniae,Ceftazidime,0.679,0.602086,0.765043,,,,,,,,0,,0,361,53,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.998959,0.997182,-0.319958,-0.318182,interpretable,exact_background_competitive,0.679,0.15107,0.165461,0.628614,borderline_calibration,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-C,Klebsiella pneumoniae,Ceftriaxone,0.697574,0.632515,0.765495,,,,,,,,0,,0,366,55,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.999649,0.985881,-0.302075,-0.288308,interpretable,exact_background_competitive,0.697574,0.158279,0.173079,0.637796,borderline_calibration,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,collapse_or_sparse,matched,moderate,high,third-organism ceftriaxone setting expected to be ESBL/co-resistance dominated or limited by sparse matched strata,2026-05-20_pre_atlas_incorporation,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-C,Klebsiella pneumoniae,Ciprofloxacin,0.701747,0.628602,0.779113,0.724308,0.556215,0.879011,0.633893,0.459436,0.815676,0.630495,728,0.0547264,0.53719,363,45,195,11,3,interpretable,focal_signal_retained,0.938574,0.942732,-0.236827,-0.240985,interpretable,exact_background_competitive,0.701747,0.195651,0.287726,0.615618,poorly_calibrated,0.6339,0.5372,3,,0.0000,0,,0.0000,0,background_only_competitive_but_residual_signal,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-C,Klebsiella pneumoniae,Piperacillin-Tazobactam,0.66539,0.551293,0.773709,0.477273,0.125,0.791667,0.477273,0.136364,0.84058,0.477273,88,0.572139,0.151163,172,27,26,22,1,caution_low_n_matched_and_low_pairwise,caution_low_matched_support,0.969349,0.960664,-0.303959,-0.295275,interpretable,exact_background_competitive,0.66539,0.175436,0.18983,0.556322,borderline_calibration,0.4773,0.1512,1,,0.0000,0,,0.0000,0,background_only_competitive_and_weak_residual,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-D,Klebsiella pneumoniae,Amoxicillin-Clavulanic acid,0.612248,0.565378,0.671986,0.54482,0.481017,0.613646,0.483645,0.410814,0.560305,0.418254,25200,0.766169,0.932125,2151,142,2005,83,6,interpretable,background_driven_collapse,0.888302,0.91622,-0.276054,-0.303972,interpretable,exact_background_competitive,0.612248,0.163287,0.300054,0.585142,poorly_calibrated,0.4836,0.9321,6,0.4775,0.9210,4,0.4777,0.8763,2,background_only_competitive_and_weak_residual,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-D,Klebsiella pneumoniae,Cefepime,0.646596,0.558415,0.72992,0.395833,0.0294118,0.875,0.395833,0.0555556,0.888889,0.395833,48,0.721393,0.00912584,2082,40,19,16,1,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,0.997668,0.992979,-0.351071,-0.346382,interpretable,exact_background_competitive,0.646596,0.0500916,0.151651,0.568389,borderline_calibration,0.3958,0.0091,1,,0.0000,0,,0.0000,0,background_only_competitive_and_weak_residual,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-D,Klebsiella pneumoniae,Ceftazidime,0.62285,0.559615,0.669346,0.928571,0.714286,1,0.928571,0.7,1,0.928571,28,0.0199005,0.00512821,2145,114,11,4,1,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,0.99854,0.974628,-0.37569,-0.351778,interpretable,exact_background_competitive,0.62285,0.0919972,0.181919,0.563885,borderline_calibration,0.9286,0.0051,1,,0.0000,0,,0.0000,0,cautionary_background_only_competitive_but_residual_signal,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-D,Klebsiella pneumoniae,Ceftriaxone,0.630033,0.583273,0.674056,0.650314,0.340926,0.995065,0.424415,0.0338645,0.767501,0.515117,5259,0.701493,0.817759,2151,123,1759,6,2,interpretable,background_driven_collapse,0.97299,0.956297,-0.342957,-0.326264,interpretable,exact_background_competitive,0.630033,0.102027,0.197541,0.572413,borderline_calibration,0.4244,0.8178,2,,0.0000,0,,0.0000,0,background_only_competitive_and_weak_residual,collapse_or_sparse,matched,moderate,high,third-organism ceftriaxone setting expected to be ESBL/co-resistance dominated or limited by sparse matched strata,2026-05-20_pre_atlas_incorporation,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-D,Klebsiella pneumoniae,Ciprofloxacin,0.586916,0.54678,0.626708,0.549027,0.497952,0.598957,0.49814,0.447003,0.547985,0.552587,115741,0.552239,0.96432,2102,168,2027,124,6,interpretable,weak_raw_signal,0.597928,0.771977,-0.0110122,-0.185061,interpretable,exact_background_competitive,0.586916,0.163498,0.279609,0.551709,poorly_calibrated,0.4981,0.9643,6,0.4981,0.9643,6,0.5166,0.9186,3,background_only_competitive_and_weak_residual,,,,,,,third-organism CNN/Mega extension
klebsiella_cnn,CNN/Mega,K. pneumoniae six-drug panel,DRIAMS-D,Klebsiella pneumoniae,Piperacillin-Tazobactam,0.597567,0.555929,0.640371,0.562138,0.514194,0.611921,0.526025,0.478816,0.576326,0.554115,131498,0.0248756,0.953445,2148,223,2048,177,7,interpretable,weak_raw_signal,0.658743,0.792046,-0.0611764,-0.194479,interpretable,exact_background_competitive,0.597567,0.12534,0.159878,0.536738,borderline_calibration,0.5260,0.9534,7,0.5319,0.9223,4,0.5363,0.9167,3,background_only_competitive_and_weak_residual,,,,,,,third-organism CNN/Mega extension
weis_lr_ecoli_temporal_a2018,Weis LR,E. coli six-drug temporal A-2018 panel,DRIAMS-A,Escherichia coli,Amoxicillin-Clavulanic acid,0.564422,0.530192,0.599785,0.566827,0.53143,0.608516,0.528875,0.492957,0.569555,0.552071,68118,0.039801,0.94281,1224,298,1154,267,8,interpretable,weak_raw_signal,0.54719,0.639689,0.0172315,-0.0752678,interpretable,exact_background_competitive,0.564422,0.233264,0.167045,0.543381,borderline_calibration,0.5289,0.9428,8,0.5243,0.9355,7,0.5256,0.9052,5,background_only_competitive_and_weak_residual,collapse,matched,low,moderate,mixed beta-lactam phenotype expected to be heterogeneous and background-sensitive,retrospective_rule_building,temporal Weis LR export
weis_lr_ecoli_temporal_a2018,Weis LR,E. coli six-drug temporal A-2018 panel,DRIAMS-A,Escherichia coli,Cefepime,0.74663,0.689938,0.793542,0.664773,0.512821,0.78699,0.619318,0.484,0.752841,0.644531,256,0.0447761,0.0562701,1244,90,70,22,2,caution_low_n_matched_and_low_retention,caution_low_matched_support,0.990521,0.979939,-0.243891,-0.233309,interpretable,exact_background_competitive,0.74663,0.101319,0.150883,0.585317,borderline_calibration,0.6193,0.0563,2,0.8346,0.0209,1,,0.0000,0,cautionary_background_only_competitive_but_residual_signal,,,,,,,temporal Weis LR export
weis_lr_ecoli_temporal_a2018,Weis LR,E. coli six-drug temporal A-2018 panel,DRIAMS-A,Escherichia coli,Ceftazidime,0.704744,0.64313,0.758247,,,,,,,,0,,0,1213,100,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.987978,0.952763,-0.283235,-0.248019,interpretable,exact_background_competitive,0.704744,0.187039,0.328449,0.650386,poorly_calibrated,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,,,,,,,temporal Weis LR export
weis_lr_ecoli_temporal_a2018,Weis LR,E. coli six-drug temporal A-2018 panel,DRIAMS-A,Escherichia coli,Ceftriaxone,0.744413,0.700285,0.7959,0.434783,0.163043,0.702381,0.456522,0.215385,0.722826,0.5,92,0.621891,0.0249799,1241,115,31,8,2,caution_low_n_matched_and_low_retention_and_low_pairwise,caution_low_matched_support,0.995857,0.975431,-0.251444,-0.231018,interpretable,exact_background_competitive,0.744413,0.135754,0.201699,0.684586,borderline_calibration,0.4565,0.0250,2,,0.0000,0,,0.0000,0,background_only_competitive_and_weak_residual,,,,,,,temporal Weis LR export
weis_lr_ecoli_temporal_a2018,Weis LR,E. coli six-drug temporal A-2018 panel,DRIAMS-A,Escherichia coli,Ciprofloxacin,0.734209,0.698283,0.77266,0.755547,0.71424,0.794394,0.688691,0.634555,0.733725,0.722075,33671,0.00497512,0.610662,1238,272,756,155,6,interpretable,focal_signal_retained,0.823449,0.797115,-0.08924,-0.0629053,interpretable,exact_background_competitive,0.734209,0.193624,0.155496,0.667093,borderline_calibration,0.6887,0.6107,6,0.6954,0.5929,5,0.7029,0.5420,2,background_only_competitive_but_residual_signal,partial_retention,matched,high,high,fluoroquinolone resistance expected to retain lineage-linked residual signal after non-fluoroquinolone background matching,retrospective_rule_building,temporal Weis LR export
weis_lr_ecoli_temporal_a2018,Weis LR,E. coli six-drug temporal A-2018 panel,DRIAMS-A,Escherichia coli,Norfloxacin,0.655745,0.594819,0.725694,,,,,,,,0,,0,444,94,0,0,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,0.999909,0.950289,-0.344164,-0.294544,interpretable,exact_background_competitive,0.655745,0.199227,0.188507,0.600152,borderline_calibration,,0.0000,0,,0.0000,0,,0.0000,0,not_interpretable_or_sparse,,,,,,,temporal Weis LR export
