Site,Drug,CNN/Mega raw,CNN/Mega centered,LGBM multi raw,LGBM multi centered,LGBM single raw,LGBM single centered,Weis LR raw,Weis LR centered,Consensus
A-2018,Cipro,0.823,0.703,0.828,0.640,0.828,0.652,0.734,0.689,retained
DRIAMS-C,Cipro,0.750,0.646,0.814,0.637,0.804,0.682,0.625,0.816*,retained
DRIAMS-D,Cipro,0.671,0.596,0.723,0.576,0.712,0.591,0.667,0.620,partial
A-2018,Amox-Clav,0.650,0.541,0.635,0.482,0.614,0.465,0.564,0.529,weak
DRIAMS-C,Amox-Clav,0.535,0.497,0.593,0.518,0.559,0.533,0.626,0.578,collapsed
DRIAMS-D,Amox-Clav,0.557,0.486,0.580,0.449,0.559,0.487,0.652,0.524,collapsed
